earth_date_time,mars_date_time,sol_number,max_ground_temp(°C),min_ground_temp(°C),max_air_temp(°C),min_air_temp(°C),mean_pressure(Pa),wind_speed(m/h),humidity(%),sunrise,sunset,UV_Radiation,weather
"Earth, 2021-12-18 UTC","Mars, Month 5 - LS 143°",Sol 3330,-15,-74,1,-80,707,Value not available,Value not available,05:33,17:24,moderate,Sunny
"Earth, 2021-12-17 UTC","Mars, Month 5 - LS 143°",Sol 3329,-13,-76,5,-87,708,Value not available,Value not available,05:34,17:24,high,Sunny
"Earth, 2021-12-16 UTC","Mars, Month 5 - LS 142°",Sol 3328,-15,-76,7,-84,707,Value not available,Value not available,05:34,17:24,high,Sunny
"Earth, 2021-12-15 UTC","Mars, Month 5 - LS 142°",Sol 3327,-7,-75,6,-81,708,Value not available,Value not available,05:34,17:24,high,Sunny
"Earth, 2021-12-14 UTC","Mars, Month 5 - LS 141°",Sol 3326,-11,-70,10,-85,708,Value not available,Value not available,05:34,17:24,high,Sunny
"Earth, 2021-12-13 UTC","Mars, Month 5 - LS 141°",Sol 3325,-20,-98,10,-87,709,Value not available,Value not available,05:34,17:24,high,Sunny
"Earth, 2021-12-12 UTC","Mars, Month 5 - LS 140°",Sol 3324,-21,-73,7,-80,711,Value not available,Value not available,05:35,17:24,high,Sunny
"Earth, 2021-12-11 UTC","Mars, Month 5 - LS 140°",Sol 3323,-23,-74,6,-85,713,Value not available,Value not available,05:35,17:24,high,Sunny
"Earth, 2021-12-10 UTC","Mars, Month 5 - LS 139°",Sol 3322,-12,-76,8,-84,713,Value not available,Value not available,05:35,17:24,moderate,Sunny
"Earth, 2021-12-09 UTC","Mars, Month 5 - LS 139°",Sol 3321,-7,-77,7,-84,713,Value not available,Value not available,05:35,17:24,moderate,Sunny
"Earth, 2021-12-08 UTC","Mars, Month 5 - LS 138°",Sol 3320,-3,-75,7,-79,713,Value not available,Value not available,05:36,17:25,moderate,Sunny
"Earth, 2021-12-07 UTC","Mars, Month 5 - LS 137°",Sol 3319,-3,-77,8,-93,714,Value not available,Value not available,05:36,17:25,high,Sunny
"Earth, 2021-12-06 UTC","Mars, Month 5 - LS 137°",Sol 3318,-10,-75,1,-87,716,Value not available,Value not available,05:36,17:25,moderate,Sunny
"Earth, 2021-12-05 UTC","Mars, Month 5 - LS 136°",Sol 3317,-17,-74,1,-91,718,Value not available,Value not available,05:36,17:25,moderate,Sunny
"Earth, 2021-12-04 UTC","Mars, Month 5 - LS 136°",Sol 3316,-18,-74,2,-82,717,Value not available,Value not available,05:36,17:25,moderate,Sunny
"Earth, 2021-12-03 UTC","Mars, Month 5 - LS 135°",Sol 3315,-15,-75,2,-83,717,Value not available,Value not available,05:37,17:25,moderate,Sunny
"Earth, 2021-12-02 UTC","Mars, Month 5 - LS 135°",Sol 3314,-11,-75,2,-88,718,Value not available,Value not available,05:37,17:25,moderate,Sunny
"Earth, 2021-12-01 UTC","Mars, Month 5 - LS 134°",Sol 3313,-13,-73,4,-94,719,Value not available,Value not available,05:37,17:25,moderate,Sunny
"Earth, 2021-11-30 UTC","Mars, Month 5 - LS 134°",Sol 3312,-14,-76,8,-89,719,Value not available,Value not available,05:37,17:25,high,Sunny
"Earth, 2021-11-29 UTC","Mars, Month 5 - LS 133°",Sol 3311,-10,-76,6,-78,720,Value not available,Value not available,05:38,17:25,moderate,Sunny
"Earth, 2021-11-28 UTC","Mars, Month 5 - LS 133°",Sol 3310,-11,-76,6,-98,720,Value not available,Value not available,05:38,17:26,moderate,Sunny
"Earth, 2021-11-27 UTC","Mars, Month 5 - LS 132°",Sol 3309,-9,-75,5,-83,721,Value not available,Value not available,05:38,17:26,moderate,Sunny
"Earth, 2021-11-26 UTC","Mars, Month 5 - LS 132°",Sol 3308,-9,-76,5,-84,722,Value not available,Value not available,05:38,17:26,moderate,Sunny
"Earth, 2021-11-25 UTC","Mars, Month 5 - LS 131°",Sol 3307,-7,-66,5,-79,709,Value not available,Value not available,05:38,17:26,moderate,Sunny
"Earth, 2021-11-22 UTC","Mars, Month 5 - LS 130°",Sol 3305,-12,-76,5,-82,724,Value not available,Value not available,05:39,17:26,moderate,Sunny
"Earth, 2021-11-21 UTC","Mars, Month 5 - LS 130°",Sol 3304,-13,-77,4,-87,725,Value not available,Value not available,05:39,17:26,moderate,Sunny
"Earth, 2021-11-20 UTC","Mars, Month 5 - LS 129°",Sol 3303,-11,-77,5,-96,725,Value not available,Value not available,05:39,17:26,moderate,Sunny
"Earth, 2021-11-19 UTC","Mars, Month 5 - LS 129°",Sol 3302,-11,-76,3,-82,726,Value not available,Value not available,05:39,17:26,moderate,Sunny
"Earth, 2021-11-18 UTC","Mars, Month 5 - LS 129°",Sol 3301,-12,-76,5,-84,726,Value not available,Value not available,05:40,17:27,moderate,Sunny
"Earth, 2021-11-17 UTC","Mars, Month 5 - LS 128°",Sol 3300,-11,-76,4,-93,727,Value not available,Value not available,05:40,17:27,moderate,Sunny
"Earth, 2021-11-16 UTC","Mars, Month 5 - LS 128°",Sol 3299,-13,-77,4,-80,729,Value not available,Value not available,05:40,17:27,moderate,Sunny
"Earth, 2021-11-15 UTC","Mars, Month 5 - LS 127°",Sol 3298,-14,-74,4,-86,730,Value not available,Value not available,05:40,17:27,moderate,Sunny
"Earth, 2021-11-14 UTC","Mars, Month 5 - LS 127°",Sol 3297,-11,-78,3,-89,730,Value not available,Value not available,05:40,17:27,moderate,Sunny
"Earth, 2021-11-13 UTC","Mars, Month 5 - LS 126°",Sol 3296,-13,-76,3,-79,729,Value not available,Value not available,05:41,17:27,moderate,Sunny
"Earth, 2021-11-12 UTC","Mars, Month 5 - LS 126°",Sol 3295,-10,-76,2,-84,732,Value not available,Value not available,05:41,17:27,moderate,Sunny
"Earth, 2021-11-11 UTC","Mars, Month 5 - LS 125°",Sol 3294,-12,-76,3,-84,732,Value not available,Value not available,05:41,17:27,moderate,Sunny
"Earth, 2021-11-10 UTC","Mars, Month 5 - LS 125°",Sol 3293,-12,-76,2,-82,734,Value not available,Value not available,05:41,17:27,moderate,Sunny
"Earth, 2021-11-09 UTC","Mars, Month 5 - LS 124°",Sol 3292,-14,-76,3,-80,734,Value not available,Value not available,05:41,17:27,moderate,Sunny
"Earth, 2021-11-08 UTC","Mars, Month 5 - LS 124°",Sol 3291,-12,-77,3,-89,735,Value not available,Value not available,05:42,17:28,moderate,Sunny
"Earth, 2021-11-07 UTC","Mars, Month 5 - LS 123°",Sol 3290,-11,-77,2,-80,736,Value not available,Value not available,05:42,17:28,moderate,Sunny
"Earth, 2021-11-06 UTC","Mars, Month 5 - LS 123°",Sol 3289,-11,-78,3,-86,737,Value not available,Value not available,05:42,17:28,moderate,Sunny
"Earth, 2021-11-05 UTC","Mars, Month 5 - LS 122°",Sol 3288,-11,-77,1,-91,738,Value not available,Value not available,05:42,17:28,moderate,Sunny
"Earth, 2021-11-04 UTC","Mars, Month 5 - LS 122°",Sol 3287,-16,-77,2,-90,739,Value not available,Value not available,05:42,17:28,moderate,Sunny
"Earth, 2021-11-03 UTC","Mars, Month 5 - LS 121°",Sol 3286,-16,-78,4,-87,740,Value not available,Value not available,05:43,17:28,moderate,Sunny
"Earth, 2021-11-02 UTC","Mars, Month 5 - LS 121°",Sol 3285,-12,-76,2,-86,741,Value not available,Value not available,05:43,17:28,moderate,Sunny
"Earth, 2021-11-01 UTC","Mars, Month 5 - LS 120°",Sol 3284,-14,-78,3,-87,742,Value not available,Value not available,05:43,17:28,moderate,Sunny
"Earth, 2021-10-31 UTC","Mars, Month 5 - LS 120°",Sol 3283,-11,-78,3,-98,744,Value not available,Value not available,05:43,17:28,moderate,Sunny
"Earth, 2021-10-30 UTC","Mars, Month 4 - LS 119°",Sol 3282,-17,-77,4,-93,745,Value not available,Value not available,05:43,17:28,moderate,Sunny
"Earth, 2021-10-29 UTC","Mars, Month 4 - LS 119°",Sol 3281,-15,-77,2,-95,747,Value not available,Value not available,05:43,17:28,moderate,Sunny
"Earth, 2021-10-28 UTC","Mars, Month 4 - LS 118°",Sol 3280,-14,-77,-1,-85,747,Value not available,Value not available,05:44,17:29,moderate,Sunny
"Earth, 2021-10-27 UTC","Mars, Month 4 - LS 118°",Sol 3279,-15,-78,-1,-84,748,Value not available,Value not available,05:44,17:29,moderate,Sunny
"Earth, 2021-10-26 UTC","Mars, Month 4 - LS 117°",Sol 3278,-15,-79,-5,-96,749,Value not available,Value not available,05:44,17:29,moderate,Sunny
"Earth, 2021-10-25 UTC","Mars, Month 4 - LS 117°",Sol 3277,-20,-80,-6,-84,750,Value not available,Value not available,05:44,17:29,moderate,Sunny
"Earth, 2021-10-24 UTC","Mars, Month 4 - LS 116°",Sol 3276,-19,-77,-6,-83,752,Value not available,Value not available,05:44,17:29,moderate,Sunny
"Earth, 2021-10-23 UTC","Mars, Month 4 - LS 116°",Sol 3275,-15,-78,-6,-96,753,Value not available,Value not available,05:44,17:29,moderate,Sunny
"Earth, 2021-10-22 UTC","Mars, Month 4 - LS 115°",Sol 3274,-16,-77,-8,-97,755,Value not available,Value not available,05:45,17:29,moderate,Sunny
"Earth, 2021-10-20 UTC","Mars, Month 4 - LS 114°",Sol 3272,-30,-77,-13,-95,755,Value not available,Value not available,05:45,17:29,moderate,Sunny
"Earth, 2021-10-19 UTC","Mars, Month 4 - LS 114°",Sol 3271,-27,-78,-13,-87,756,Value not available,Value not available,05:45,17:29,moderate,Sunny
"Earth, 2021-10-17 UTC","Mars, Month 4 - LS 114°",Sol 3270,-28,-77,-14,-84,758,Value not available,Value not available,05:45,17:30,moderate,Sunny
"Earth, 2021-10-16 UTC","Mars, Month 4 - LS 113°",Sol 3269,-30,-77,-13,-81,759,Value not available,Value not available,05:46,17:30,moderate,Sunny
"Earth, 2021-10-15 UTC","Mars, Month 4 - LS 113°",Sol 3268,-29,-78,-12,-89,760,Value not available,Value not available,05:46,17:30,moderate,Sunny
"Earth, 2021-10-14 UTC","Mars, Month 4 - LS 112°",Sol 3267,-26,-79,-13,-82,761,Value not available,Value not available,05:46,17:30,moderate,Sunny
"Earth, 2021-10-13 UTC","Mars, Month 4 - LS 112°",Sol 3266,-29,-77,-14,-86,762,Value not available,Value not available,05:46,17:30,moderate,Sunny
"Earth, 2021-10-12 UTC","Mars, Month 4 - LS 111°",Sol 3265,-28,-78,-14,-86,763,Value not available,Value not available,05:46,17:30,moderate,Sunny
"Earth, 2021-10-11 UTC","Mars, Month 4 - LS 111°",Sol 3264,-33,-69,-13,-80,751,Value not available,Value not available,05:46,17:30,moderate,Sunny
"Earth, 2021-10-10 UTC","Mars, Month 4 - LS 110°",Sol 3263,-31,-78,-13,-85,771,Value not available,Value not available,05:47,17:30,moderate,Sunny
"Earth, 2021-10-09 UTC","Mars, Month 4 - LS 110°",Sol 3262,-32,-77,-14,-92,767,Value not available,Value not available,05:47,17:30,moderate,Sunny
"Earth, 2021-10-08 UTC","Mars, Month 4 - LS 109°",Sol 3261,-30,-69,-15,-82,760,Value not available,Value not available,05:47,17:31,moderate,Sunny
"Earth, 2021-10-07 UTC","Mars, Month 4 - LS 109°",Sol 3260,-67,-78,-60,-91,787,Value not available,Value not available,05:47,17:31,low,Sunny
"Earth, 2021-10-06 UTC","Mars, Month 4 - LS 108°",Sol 3259,-33,-77,-15,-91,776,Value not available,Value not available,05:47,17:31,moderate,Sunny
"Earth, 2021-10-05 UTC","Mars, Month 4 - LS 108°",Sol 3258,-37,-79,-34,-89,776,Value not available,Value not available,05:47,17:31,low,Sunny
"Earth, 2021-09-30 UTC","Mars, Month 4 - LS 106°",Sol 3253,-30,-80,-16,-87,778,Value not available,Value not available,05:48,17:31,moderate,Sunny
"Earth, 2021-09-29 UTC","Mars, Month 4 - LS 105°",Sol 3252,-34,-78,-14,-88,778,Value not available,Value not available,05:48,17:31,moderate,Sunny
"Earth, 2021-09-28 UTC","Mars, Month 4 - LS 105°",Sol 3251,-28,-79,-16,-95,781,Value not available,Value not available,05:48,17:32,moderate,Sunny
"Earth, 2021-09-27 UTC","Mars, Month 4 - LS 104°",Sol 3250,-33,-79,-14,-85,781,Value not available,Value not available,05:49,17:32,moderate,Sunny
"Earth, 2021-09-26 UTC","Mars, Month 4 - LS 104°",Sol 3249,-32,-79,-14,-82,782,Value not available,Value not available,05:49,17:32,moderate,Sunny
"Earth, 2021-09-25 UTC","Mars, Month 4 - LS 103°",Sol 3248,-32,-80,-16,-85,783,Value not available,Value not available,05:49,17:32,moderate,Sunny
"Earth, 2021-09-24 UTC","Mars, Month 4 - LS 103°",Sol 3247,-23,-81,-16,-89,785,Value not available,Value not available,05:49,17:32,moderate,Sunny
"Earth, 2021-09-23 UTC","Mars, Month 4 - LS 102°",Sol 3246,-24,-80,-15,-91,787,Value not available,Value not available,05:49,17:32,moderate,Sunny
"Earth, 2021-09-22 UTC","Mars, Month 4 - LS 102°",Sol 3245,-20,-80,-17,-83,788,Value not available,Value not available,05:49,17:32,moderate,Sunny
"Earth, 2021-09-21 UTC","Mars, Month 4 - LS 101°",Sol 3244,-24,-79,-15,-84,788,Value not available,Value not available,05:49,17:32,moderate,Sunny
"Earth, 2021-09-20 UTC","Mars, Month 4 - LS 101°",Sol 3243,-22,-79,-16,-85,790,Value not available,Value not available,05:50,17:32,moderate,Sunny
"Earth, 2021-09-19 UTC","Mars, Month 4 - LS 100°",Sol 3242,-23,-80,-17,-81,791,Value not available,Value not available,05:50,17:33,moderate,Sunny
"Earth, 2021-09-18 UTC","Mars, Month 4 - LS 100°",Sol 3241,-23,-80,-18,-82,792,Value not available,Value not available,05:50,17:33,moderate,Sunny
"Earth, 2021-09-17 UTC","Mars, Month 4 - LS 100°",Sol 3240,-26,-79,-18,-83,794,Value not available,Value not available,05:50,17:33,moderate,Sunny
"Earth, 2021-09-16 UTC","Mars, Month 4 - LS 99°",Sol 3239,-24,-78,-16,-82,795,Value not available,Value not available,05:50,17:33,moderate,Sunny
"Earth, 2021-09-15 UTC","Mars, Month 4 - LS 99°",Sol 3238,-22,-79,-16,-87,796,Value not available,Value not available,05:50,17:33,moderate,Sunny
"Earth, 2021-09-14 UTC","Mars, Month 4 - LS 98°",Sol 3237,-24,-80,-15,-86,798,Value not available,Value not available,05:51,17:33,moderate,Sunny
"Earth, 2021-09-13 UTC","Mars, Month 4 - LS 98°",Sol 3236,-26,-81,-17,-88,799,Value not available,Value not available,05:51,17:33,moderate,Sunny
"Earth, 2021-09-12 UTC","Mars, Month 4 - LS 97°",Sol 3235,-23,-79,-17,-93,800,Value not available,Value not available,05:51,17:33,moderate,Sunny
"Earth, 2021-09-10 UTC","Mars, Month 4 - LS 97°",Sol 3234,-20,-80,-14,-86,801,Value not available,Value not available,05:51,17:34,moderate,Sunny
"Earth, 2021-09-09 UTC","Mars, Month 4 - LS 96°",Sol 3233,-26,-81,-18,-87,804,Value not available,Value not available,05:51,17:34,moderate,Sunny
"Earth, 2021-09-08 UTC","Mars, Month 4 - LS 96°",Sol 3232,-24,-79,-15,-90,804,Value not available,Value not available,05:51,17:34,moderate,Sunny
"Earth, 2021-09-07 UTC","Mars, Month 4 - LS 95°",Sol 3231,-21,-79,-16,-82,805,Value not available,Value not available,05:51,17:34,moderate,Sunny
"Earth, 2021-09-06 UTC","Mars, Month 4 - LS 95°",Sol 3230,-23,-79,-18,-88,806,Value not available,Value not available,05:52,17:34,moderate,Sunny
"Earth, 2021-09-05 UTC","Mars, Month 4 - LS 95°",Sol 3229,-22,-80,-17,-88,807,Value not available,Value not available,05:52,17:34,moderate,Sunny
"Earth, 2021-09-04 UTC","Mars, Month 4 - LS 94°",Sol 3228,-27,-79,-21,-77,809,Value not available,Value not available,05:52,17:34,moderate,Sunny
"Earth, 2021-09-03 UTC","Mars, Month 4 - LS 94°",Sol 3227,-28,-79,Value not available,Value not available,808,Value not available,Value not available,05:52,17:34,moderate,Sunny
"Earth, 2021-09-02 UTC","Mars, Month 4 - LS 93°",Sol 3226,-23,-81,-15,-85,812,Value not available,Value not available,05:52,17:35,moderate,Sunny
"Earth, 2021-09-01 UTC","Mars, Month 4 - LS 93°",Sol 3225,-23,-81,-15,-90,812,Value not available,Value not available,05:52,17:35,moderate,Sunny
"Earth, 2021-08-31 UTC","Mars, Month 4 - LS 92°",Sol 3224,-22,-79,-19,-90,813,Value not available,Value not available,05:52,17:35,moderate,Sunny
"Earth, 2021-08-30 UTC","Mars, Month 4 - LS 92°",Sol 3223,-26,-81,-19,-91,815,Value not available,Value not available,05:53,17:35,moderate,Sunny
"Earth, 2021-08-29 UTC","Mars, Month 4 - LS 91°",Sol 3222,-20,-79,-12,-92,817,Value not available,Value not available,05:53,17:35,moderate,Sunny
"Earth, 2021-08-28 UTC","Mars, Month 4 - LS 91°",Sol 3221,-31,-80,-10,-92,817,Value not available,Value not available,05:53,17:35,moderate,Sunny
"Earth, 2021-08-27 UTC","Mars, Month 4 - LS 90°",Sol 3220,-29,-79,-10,-85,819,Value not available,Value not available,05:53,17:35,moderate,Sunny
"Earth, 2021-08-26 UTC","Mars, Month 4 - LS 90°",Sol 3219,-31,-79,-12,-91,821,Value not available,Value not available,05:53,17:36,low,Sunny
"Earth, 2021-08-25 UTC","Mars, Month 4 - LS 90°",Sol 3218,-33,-80,-14,-89,821,Value not available,Value not available,05:53,17:36,low,Sunny
"Earth, 2021-08-24 UTC","Mars, Month 3 - LS 89°",Sol 3217,-29,-79,-1,-90,822,Value not available,Value not available,05:53,17:36,moderate,Sunny
"Earth, 2021-08-23 UTC","Mars, Month 3 - LS 89°",Sol 3216,-24,-78,-3,-82,824,Value not available,Value not available,05:54,17:36,moderate,Sunny
"Earth, 2021-08-22 UTC","Mars, Month 3 - LS 88°",Sol 3215,-25,-80,-9,-83,826,Value not available,Value not available,05:54,17:36,moderate,Sunny
"Earth, 2021-08-21 UTC","Mars, Month 3 - LS 88°",Sol 3214,-23,-79,-8,-85,826,Value not available,Value not available,05:54,17:36,moderate,Sunny
"Earth, 2021-08-20 UTC","Mars, Month 3 - LS 87°",Sol 3213,-22,-79,-9,-90,828,Value not available,Value not available,05:54,17:36,moderate,Sunny
"Earth, 2021-08-19 UTC","Mars, Month 3 - LS 87°",Sol 3212,-21,-80,-7,-86,829,Value not available,Value not available,05:54,17:37,moderate,Sunny
"Earth, 2021-08-18 UTC","Mars, Month 3 - LS 86°",Sol 3211,-27,-80,-9,-83,830,Value not available,Value not available,05:54,17:37,moderate,Sunny
"Earth, 2021-08-17 UTC","Mars, Month 3 - LS 86°",Sol 3210,-25,-78,-12,-88,832,Value not available,Value not available,05:55,17:37,moderate,Sunny
"Earth, 2021-08-16 UTC","Mars, Month 3 - LS 85°",Sol 3209,-30,-78,-11,-93,835,Value not available,Value not available,05:55,17:37,moderate,Sunny
"Earth, 2021-08-15 UTC","Mars, Month 3 - LS 85°",Sol 3208,-32,-78,-9,-83,834,Value not available,Value not available,05:55,17:37,moderate,Sunny
"Earth, 2021-08-14 UTC","Mars, Month 3 - LS 85°",Sol 3207,-30,-76,-8,-85,835,Value not available,Value not available,05:55,17:37,moderate,Sunny
"Earth, 2021-08-13 UTC","Mars, Month 3 - LS 84°",Sol 3206,-30,-77,-8,-80,836,Value not available,Value not available,05:55,17:38,moderate,Sunny
"Earth, 2021-08-12 UTC","Mars, Month 3 - LS 84°",Sol 3205,-25,-77,-7,-82,837,Value not available,Value not available,05:55,17:38,moderate,Sunny
"Earth, 2021-08-11 UTC","Mars, Month 3 - LS 83°",Sol 3204,-26,-78,-8,-91,838,Value not available,Value not available,05:55,17:38,moderate,Sunny
"Earth, 2021-08-10 UTC","Mars, Month 3 - LS 83°",Sol 3203,-27,-80,-6,-82,840,Value not available,Value not available,05:56,17:38,moderate,Sunny
"Earth, 2021-08-09 UTC","Mars, Month 3 - LS 82°",Sol 3202,-29,-79,-10,-81,841,Value not available,Value not available,05:56,17:38,moderate,Sunny
"Earth, 2021-08-08 UTC","Mars, Month 3 - LS 82°",Sol 3201,-29,-77,-14,-88,842,Value not available,Value not available,05:56,17:39,moderate,Sunny
"Earth, 2021-08-07 UTC","Mars, Month 3 - LS 81°",Sol 3200,-26,-79,-12,-90,843,Value not available,Value not available,05:56,17:39,moderate,Sunny
"Earth, 2021-08-06 UTC","Mars, Month 3 - LS 81°",Sol 3199,-25,-78,-13,-83,845,Value not available,Value not available,05:56,17:39,moderate,Sunny
"Earth, 2021-08-05 UTC","Mars, Month 3 - LS 80°",Sol 3198,-27,-78,-15,-86,845,Value not available,Value not available,05:56,17:39,moderate,Sunny
"Earth, 2021-08-03 UTC","Mars, Month 3 - LS 80°",Sol 3197,-29,-79,-7,-87,846,Value not available,Value not available,05:57,17:39,moderate,Sunny
"Earth, 2021-08-02 UTC","Mars, Month 3 - LS 80°",Sol 3196,-24,-78,-6,-88,847,Value not available,Value not available,05:57,17:39,moderate,Sunny
"Earth, 2021-08-01 UTC","Mars, Month 3 - LS 79°",Sol 3195,-27,-78,-7,-86,848,Value not available,Value not available,05:57,17:40,moderate,Sunny
"Earth, 2021-07-31 UTC","Mars, Month 3 - LS 79°",Sol 3194,-25,-78,-4,-83,848,Value not available,Value not available,05:57,17:40,moderate,Sunny
"Earth, 2021-07-30 UTC","Mars, Month 3 - LS 78°",Sol 3193,-29,-79,-6,-93,850,Value not available,Value not available,05:57,17:40,moderate,Sunny
"Earth, 2021-07-29 UTC","Mars, Month 3 - LS 78°",Sol 3192,-24,-79,-9,-92,851,Value not available,Value not available,05:57,17:40,moderate,Sunny
"Earth, 2021-07-28 UTC","Mars, Month 3 - LS 77°",Sol 3191,-23,-80,-12,-89,853,Value not available,Value not available,05:58,17:40,moderate,Sunny
"Earth, 2021-07-27 UTC","Mars, Month 3 - LS 77°",Sol 3190,-24,-78,-7,-91,853,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2021-07-26 UTC","Mars, Month 3 - LS 76°",Sol 3189,-22,-78,-9,-95,854,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2021-07-25 UTC","Mars, Month 3 - LS 76°",Sol 3188,-20,-79,-9,-95,855,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2021-07-24 UTC","Mars, Month 3 - LS 76°",Sol 3187,-26,-79,-10,-85,856,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2021-07-23 UTC","Mars, Month 3 - LS 75°",Sol 3186,-27,-79,-10,-85,857,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2021-07-22 UTC","Mars, Month 3 - LS 75°",Sol 3185,-29,-79,-5,-86,859,Value not available,Value not available,05:59,17:42,moderate,Sunny
"Earth, 2021-07-20 UTC","Mars, Month 3 - LS 74°",Sol 3183,-22,-79,-5,-96,859,Value not available,Value not available,05:59,17:42,moderate,Sunny
"Earth, 2021-07-19 UTC","Mars, Month 3 - LS 73°",Sol 3182,-24,-80,-8,-82,859,Value not available,Value not available,05:59,17:42,moderate,Sunny
"Earth, 2021-07-18 UTC","Mars, Month 3 - LS 73°",Sol 3181,-25,-80,-7,-90,860,Value not available,Value not available,05:59,17:43,moderate,Sunny
"Earth, 2021-07-17 UTC","Mars, Month 3 - LS 72°",Sol 3180,-24,-78,-8,-87,860,Value not available,Value not available,06:00,17:43,moderate,Sunny
"Earth, 2021-07-16 UTC","Mars, Month 3 - LS 72°",Sol 3179,-22,-79,-7,-90,862,Value not available,Value not available,06:00,17:43,moderate,Sunny
"Earth, 2021-07-15 UTC","Mars, Month 3 - LS 72°",Sol 3178,-23,-80,-6,-87,862,Value not available,Value not available,06:00,17:43,moderate,Sunny
