,matchId,playerId,playType,bodyPart,x,y,interveningOpponents,interveningTeammates,interferenceOnShooter,minute,second,outcome
36,m_114,p_141,during the match,right foot,8.98,13.97,3,0,high,4,20,missed opportunity
37,m_62,p_147,during the match,head,8.23,-5.49,2,0,low,85,36,missed opportunity
38,m_9,p_40,during the match,head,9.73,2.0,3,0,medium,46,47,goal
39,m_144,p_82,direct free kick,left foot,21.95,-2.49,5,0,low,86,30,goal
40,m_96,p_20,during the match,right foot,10.72,15.96,3,1,medium,23,32,goalkeeper save
41,m_184,p_144,during the match,left foot,13.72,9.23,2,0,low,15,25,goalkeeper save
42,m_177,p_7,during the match,right foot,3.49,-4.74,2,0,high,23,9,goal
43,m_91,p_59,during the match,left foot,9.23,-10.72,4,0,high,35,26,kick to the defense
44,m_154,p_90,during the match,left foot,5.24,-1.75,1,0,low,90,2,missed opportunity
45,m_88,p_45,during the match,head,7.98,0.5,1,0,low,68,39,missed opportunity
46,m_143,p_91,during the match,left foot,16.71,-11.47,3,1,high,63,31,goalkeeper save
47,m_148,p_112,during the match,left foot,13.72,-1.75,3,0,medium,68,44,kick to the defense
48,m_196,p_154,during the match,right foot,9.73,-7.73,1,0,medium,89,20,goal
49,m_51,p_1,during the match,head,15.21,-1.75,2,0,high,72,41,goalkeeper save
50,m_62,p_78,during the match,left foot,10.23,8.98,1,0,high,44,39,goalkeeper save
51,m_202,p_129,during the match,head,7.73,-8.73,3,0,medium,40,12,goalkeeper save
52,m_216,p_134,during the match,right foot,15.96,5.24,6,0,medium,85,9,kick to the defense
53,m_187,p_153,during the match,left foot,9.73,10.47,1,0,low,60,44,missed opportunity
54,m_235,p_49,during the match,head,11.47,8.73,2,0,high,16,14,kick to the defense
55,m_240,p_100,during the match,right foot,22.44,-5.99,3,1,medium,23,13,missed opportunity
56,m_10,p_61,during the match,left foot,12.72,-14.96,3,0,medium,67,45,missed opportunity
57,m_33,p_99,during the match,right foot,27.43,-13.47,2,0,medium,72,11,kick to the defense
58,m_86,p_40,during the match,right foot,19.95,12.47,3,0,low,59,45,goalkeeper save
59,m_26,p_10,during the match,left foot,4.24,11.97,2,0,medium,64,6,kick to the defense
60,m_93,p_141,during the match,right foot,26.19,3.24,3,1,medium,56,48,goalkeeper save
61,m_149,p_136,during the match,right foot,24.44,-14.71,3,0,low,51,49,goal
62,m_99,p_73,during the match,left foot,6.24,4.99,1,0,low,21,54,missed opportunity
63,m_131,p_131,during the match,right foot,17.46,11.97,1,0,low,78,5,goalkeeper save
64,m_139,p_31,during the match,left foot,31.67,-20.7,1,0,low,27,6,goalkeeper save
65,m_209,p_135,during the match,left foot,26.43,6.48,4,0,high,63,49,missed opportunity
66,m_65,p_17,during the match,head,6.73,7.23,1,0,low,16,42,missed opportunity
67,m_25,p_144,during the match,right foot,27.93,1.5,5,1,medium,41,11,kick to the defense
68,m_167,p_66,during the match,right foot,10.97,-17.96,3,1,low,77,1,goalkeeper save
69,m_224,p_61,during the match,right foot,7.98,3.49,1,0,low,66,59,missed opportunity
70,m_226,p_96,during the match,right foot,13.97,-5.49,2,0,low,13,33,missed opportunity
71,m_59,p_129,during the match,head,8.98,4.49,5,2,low,91,2,missed opportunity
72,m_238,p_21,during the match,right foot,5.74,-12.72,2,0,low,33,57,goalkeeper save
73,m_179,p_88,during the match,right foot,9.73,-4.99,3,0,medium,58,2,goal
74,m_217,p_72,during the match,right foot,25.44,-3.24,2,0,low,41,45,goalkeeper save
75,m_86,p_9,during the match,right foot,10.23,3.49,2,0,medium,49,43,missed opportunity
76,m_56,p_65,during the match,right foot,13.97,-6.48,1,0,low,27,10,kick to the crossbar
77,m_121,p_78,during the match,left foot,11.22,5.49,2,0,medium,80,3,kick to the defense
78,m_191,p_151,during the match,right foot,10.23,-7.73,1,0,high,71,25,missed opportunity
79,m_29,p_72,during the match,head,5.99,5.99,2,0,medium,27,59,goal
80,m_198,p_128,direct free kick,right foot,8.48,20.95,6,2,low,89,45,kick to the crossbar
81,m_107,p_103,during the match,right foot,8.23,13.47,3,0,medium,60,13,goalkeeper save
82,m_155,p_131,during the match,right foot,15.21,-2.0,2,0,low,34,23,goalkeeper save
83,m_91,p_4,penalty,right foot,10.97,0.0,1,0,low,54,31,goal
84,m_173,p_119,during the match,left foot,11.97,9.73,4,1,medium,18,32,kick to the defense
85,m_224,p_35,during the match,left foot,7.48,-4.24,1,0,low,48,42,goal
86,m_74,p_125,during the match,head,5.49,6.73,4,0,high,45,59,missed opportunity
87,m_226,p_5,during the match,right foot,8.48,-5.49,1,0,low,14,28,goal
88,m_198,p_64,during the match,right foot,20.2,7.48,2,0,high,74,56,missed opportunity
89,m_208,p_55,during the match,right foot,22.69,2.74,4,1,medium,16,39,kick to the defense
90,m_62,p_122,during the match,right foot,14.96,4.74,2,0,medium,17,40,goalkeeper save
91,m_208,p_156,during the match,left foot,12.47,-3.99,2,0,low,63,17,goalkeeper save
92,m_143,p_94,during the match,left foot,21.2,-3.99,2,0,high,53,36,goal
93,m_237,p_86,during the match,left foot,5.24,3.24,1,0,low,30,40,goal
94,m_67,p_90,during the match,head,13.22,-1.0,2,0,high,56,43,missed opportunity
95,m_92,p_21,during the match,left foot,15.96,-10.23,1,0,low,2,59,goalkeeper save
96,m_137,p_60,during the match,right foot,19.2,9.98,1,0,medium,70,30,kick to the defense
97,m_145,p_17,during the match,head,9.48,2.74,3,1,high,13,10,kick to the defense
98,m_11,p_25,during the match,right foot,10.23,-9.73,2,0,low,19,45,kick to the defense
99,m_124,p_155,during the match,head,6.98,-1.5,2,0,medium,55,22,missed opportunity
100,m_80,p_38,during the match,right foot,8.98,-2.0,1,0,low,73,6,goal
101,m_145,p_58,during the match,other,11.47,-4.24,1,0,low,50,48,goalkeeper save
102,m_200,p_148,during the match,left foot,5.99,11.22,1,0,medium,61,17,missed opportunity
103,m_102,p_27,during the match,left foot,15.71,-10.23,3,0,medium,56,59,missed opportunity
104,m_67,p_122,during the match,right foot,19.45,1.25,3,0,medium,67,56,goalkeeper save
105,m_187,p_62,direct free kick,left foot,27.93,-13.97,5,2,low,59,11,goalkeeper save
106,m_133,p_124,penalty,right foot,10.97,0.0,1,0,low,85,19,goal
107,m_205,p_1,during the match,other,4.99,1.0,2,0,medium,35,52,kick to the defense
108,m_57,p_58,during the match,right foot,9.23,-4.24,2,0,high,24,34,kick to the defense
109,m_156,p_70,during the match,left foot,23.69,-4.99,3,0,high,69,51,kick to the defense
110,m_30,p_4,during the match,head,8.48,4.49,1,0,low,57,28,missed opportunity
111,m_161,p_105,during the match,left foot,10.47,-0.75,3,0,low,87,59,goal
112,m_216,p_149,during the match,right foot,15.46,-1.5,2,1,low,55,42,missed opportunity
113,m_54,p_107,during the match,right foot,7.48,5.49,2,0,medium,39,32,missed opportunity
114,m_98,p_97,during the match,right foot,18.45,10.72,3,0,medium,50,53,missed opportunity
115,m_125,p_154,during the match,head,4.99,-1.5,2,0,low,67,9,goal
116,m_65,p_99,during the match,head,7.98,-2.49,3,0,medium,82,49,kick to the crossbar
117,m_155,p_92,during the match,right foot,23.19,-9.48,4,1,medium,76,59,missed opportunity
118,m_237,p_16,during the match,right foot,19.2,-0.75,3,0,medium,36,0,kick to the defense
119,m_143,p_38,during the match,right foot,11.22,-5.74,2,0,medium,76,2,kick to the defense
120,m_39,p_125,during the match,right foot,13.47,-11.97,2,0,medium,58,13,goal
121,m_114,p_142,during the match,other,6.48,-2.24,2,0,medium,53,28,goalkeeper save
122,m_4,p_2,during the match,right foot,16.96,3.99,3,1,medium,83,0,goalkeeper save
123,m_44,p_29,during the match,left foot,8.48,16.71,2,0,medium,63,53,missed opportunity
124,m_141,p_1,penalty,right foot,10.97,0.0,1,0,low,81,24,goal
125,m_161,p_100,during the match,head,13.22,2.24,2,0,high,45,49,missed opportunity
126,m_206,p_33,penalty,right foot,10.97,0.0,1,0,low,7,48,goal
127,m_195,p_46,during the match,left foot,13.97,-10.97,2,0,low,20,41,goalkeeper save
128,m_22,p_123,during the match,left foot,29.18,-7.48,4,0,low,90,13,missed opportunity
129,m_20,p_76,during the match,left foot,22.94,-3.74,4,1,low,71,15,missed opportunity
130,m_69,p_159,during the match,left foot,14.46,12.72,4,0,high,40,55,kick to the defense
131,m_131,p_67,during the match,head,2.49,11.72,2,1,low,5,36,kick to the defense
132,m_209,p_126,during the match,right foot,12.72,-1.75,2,0,medium,91,41,missed opportunity
133,m_160,p_16,during the match,right foot,11.47,-10.23,2,0,high,33,57,kick to the crossbar
134,m_140,p_29,direct free kick,left foot,19.45,-14.71,7,2,low,38,6,goal
135,m_122,p_32,during the match,right foot,9.23,-1.5,1,0,medium,17,50,missed opportunity
136,m_201,p_134,during the match,right foot,24.19,5.99,3,0,low,5,6,kick to the defense
137,m_206,p_60,during the match,right foot,9.73,-9.73,1,0,medium,53,14,missed opportunity
138,m_112,p_67,during the match,head,2.49,0.75,1,0,medium,71,41,missed opportunity
139,m_94,p_139,during the match,right foot,25.44,6.73,3,2,low,65,20,missed opportunity
140,m_236,p_135,during the match,right foot,20.45,-9.98,3,0,medium,12,7,kick to the defense
141,m_195,p_44,during the match,left foot,5.99,-12.22,3,0,medium,48,34,missed opportunity
142,m_9,p_5,during the match,right foot,12.97,-16.96,2,0,medium,23,13,goalkeeper save
143,m_156,p_85,during the match,right foot,13.72,11.22,2,0,medium,47,50,goalkeeper save
144,m_68,p_130,during the match,left foot,19.95,-10.72,4,0,low,90,9,missed opportunity
145,m_231,p_74,during the match,right foot,4.49,-5.74,1,0,low,7,31,kick to the defense
146,m_165,p_114,during the match,right foot,20.7,14.46,3,0,medium,64,0,kick to the crossbar
147,m_156,p_90,during the match,left foot,11.22,9.48,1,0,low,10,22,goalkeeper save
148,m_133,p_93,during the match,right foot,6.73,-2.0,2,0,high,41,33,goalkeeper save
149,m_173,p_5,during the match,left foot,7.98,7.98,3,0,medium,3,35,goalkeeper save
150,m_233,p_82,during the match,head,11.72,0.25,3,0,low,63,12,missed opportunity
151,m_121,p_101,during the match,left foot,18.21,14.22,1,0,medium,63,9,missed opportunity
152,m_235,p_40,during the match,right foot,2.0,-12.22,2,0,high,14,4,kick to the defense
153,m_182,p_48,during the match,right foot,21.95,13.47,3,0,medium,8,37,missed opportunity
154,m_164,p_114,during the match,left foot,20.95,-15.46,3,0,high,82,7,missed opportunity
155,m_205,p_132,during the match,right foot,12.22,0.25,2,0,medium,80,13,missed opportunity
156,m_81,p_82,during the match,left foot,14.22,9.98,2,0,high,12,19,kick to the defense
157,m_213,p_30,during the match,left foot,26.43,-3.49,2,0,medium,13,30,goalkeeper save
158,m_6,p_12,during the match,right foot,23.19,12.47,5,3,low,44,26,goalkeeper save
159,m_148,p_132,during the match,left foot,26.68,-9.23,5,2,low,51,23,missed opportunity
160,m_63,p_89,during the match,head,8.73,-2.0,1,0,medium,24,57,missed opportunity
161,m_55,p_11,during the match,other,6.48,2.0,2,0,medium,61,45,kick to the defense
162,m_89,p_27,during the match,left foot,23.44,-9.73,3,0,medium,8,24,kick to the defense
163,m_111,p_18,during the match,left foot,28.68,16.96,3,0,medium,5,41,missed opportunity
164,m_222,p_119,during the match,left foot,17.96,2.74,2,0,low,48,23,missed opportunity
165,m_178,p_119,during the match,right foot,11.22,15.96,3,0,medium,11,10,goalkeeper save
166,m_48,p_133,during the match,right foot,27.93,11.72,2,0,medium,12,41,missed opportunity
167,m_46,p_142,during the match,head,6.73,-5.24,3,0,medium,56,1,goalkeeper save
168,m_121,p_158,during the match,right foot,10.47,-10.72,1,0,low,26,16,goal
169,m_236,p_43,during the match,head,13.97,3.74,1,0,low,42,32,goal
170,m_51,p_42,during the match,left foot,24.69,-1.75,4,1,low,84,54,missed opportunity
171,m_33,p_65,during the match,right foot,21.45,-2.49,2,0,high,14,30,missed opportunity
172,m_26,p_157,during the match,head,8.73,-4.24,2,0,high,58,4,missed opportunity
173,m_35,p_139,during the match,left foot,8.48,18.45,4,1,medium,51,25,goalkeeper save
174,m_187,p_143,during the match,right foot,8.23,-1.25,1,0,medium,6,36,missed opportunity
175,m_201,p_135,direct free kick,right foot,27.18,1.75,7,2,low,19,40,kick to the defense
176,m_146,p_109,during the match,head,11.22,3.99,2,0,medium,47,43,goalkeeper save
177,m_89,p_60,during the match,head,12.72,0.5,2,0,high,39,42,goalkeeper save
178,m_136,p_33,penalty,left foot,10.97,0.0,1,0,low,75,51,goal
179,m_101,p_126,during the match,right foot,4.74,-4.24,2,0,high,23,15,kick to the defense
180,m_28,p_138,during the match,right foot,18.21,-1.5,2,1,medium,13,35,kick to the defense
181,m_69,p_93,during the match,left foot,4.49,11.47,2,0,high,44,50,goalkeeper save
182,m_114,p_88,during the match,right foot,8.48,-13.72,2,0,low,43,54,missed opportunity
183,m_1,p_16,during the match,right foot,6.98,-0.5,1,0,low,32,48,goal
184,m_168,p_96,during the match,left foot,20.7,13.72,2,0,low,64,20,missed opportunity
185,m_32,p_124,during the match,right foot,0.75,-11.72,1,0,low,89,48,missed opportunity
186,m_107,p_95,during the match,head,7.48,3.99,2,0,high,78,15,missed opportunity
187,m_18,p_89,during the match,right foot,20.95,-14.46,2,0,low,39,52,kick to the defense
188,m_95,p_94,during the match,left foot,8.48,-0.5,2,0,medium,15,13,goalkeeper save
189,m_6,p_42,direct free kick,right foot,27.68,-8.73,7,1,low,33,5,missed opportunity
190,m_68,p_115,during the match,right foot,10.47,-4.24,1,0,low,42,35,goal
191,m_11,p_116,during the match,right foot,19.7,-4.49,2,0,medium,22,35,goal
192,m_36,p_18,direct free kick,right foot,24.19,-4.49,4,1,low,34,52,missed opportunity
193,m_47,p_154,during the match,left foot,18.95,4.74,3,2,low,41,29,missed opportunity
194,m_190,p_14,during the match,left foot,4.24,6.48,2,0,low,63,40,missed opportunity
195,m_131,p_132,during the match,right foot,23.19,-8.23,3,0,low,0,52,goalkeeper save
196,m_214,p_158,during the match,right foot,22.94,-10.72,3,1,low,16,56,goalkeeper save
197,m_126,p_39,penalty,right foot,10.97,0.0,1,0,low,29,24,goalkeeper save
198,m_52,p_48,during the match,right foot,11.72,11.47,1,0,low,50,39,kick to the defense
199,m_201,p_119,during the match,head,5.99,1.0,1,0,medium,47,6,goal
200,m_198,p_64,during the match,right foot,14.22,-3.24,6,2,medium,17,46,kick to the defense
201,m_208,p_145,during the match,right foot,18.21,11.97,3,1,medium,84,37,kick to the defense
202,m_127,p_42,during the match,left foot,13.97,-1.75,1,0,medium,55,31,goalkeeper save
203,m_136,p_85,during the match,right foot,4.49,-0.75,2,0,low,1,36,goal
204,m_117,p_49,during the match,left foot,9.73,7.48,2,0,medium,6,0,missed opportunity
205,m_145,p_97,during the match,left foot,21.45,-22.94,6,2,low,69,59,missed opportunity
206,m_146,p_103,during the match,right foot,1.75,-7.48,2,0,low,82,47,goalkeeper save
207,m_3,p_43,during the match,right foot,15.46,0.25,4,1,medium,58,42,missed opportunity
208,m_178,p_21,during the match,left foot,22.2,12.97,3,0,low,4,24,goalkeeper save
209,m_19,p_119,during the match,left foot,23.19,4.99,3,0,medium,83,18,missed opportunity
210,m_45,p_160,during the match,right foot,10.23,-7.73,2,0,medium,44,34,missed opportunity
211,m_214,p_26,during the match,left foot,12.97,-5.74,2,0,high,16,18,missed opportunity
212,m_39,p_138,direct free kick,left foot,20.95,12.97,6,1,low,43,26,goalkeeper save
213,m_236,p_157,during the match,right foot,24.44,-5.74,2,0,high,50,44,missed opportunity
214,m_140,p_133,during the match,head,9.23,3.49,2,0,medium,84,44,missed opportunity
215,m_87,p_43,during the match,right foot,22.44,1.5,2,0,medium,21,52,missed opportunity
216,m_163,p_146,during the match,right foot,15.21,17.46,2,0,medium,65,9,goalkeeper save
217,m_222,p_29,during the match,left foot,7.23,12.97,2,0,high,79,53,kick to the defense
218,m_12,p_144,during the match,right foot,3.99,-10.23,2,0,medium,66,15,goalkeeper save
219,m_225,p_139,during the match,right foot,31.42,5.49,5,3,low,12,12,missed opportunity
220,m_160,p_57,during the match,right foot,14.46,-10.97,3,0,high,75,39,missed opportunity
221,m_61,p_92,during the match,left foot,1.75,0.75,1,0,medium,65,36,goalkeeper save
222,m_183,p_44,during the match,left foot,13.47,-6.98,2,0,high,29,40,kick to the defense
223,m_16,p_136,during the match,left foot,9.73,7.48,1,0,medium,77,30,goalkeeper save
224,m_97,p_123,during the match,right foot,25.19,6.98,5,2,low,58,55,missed opportunity
225,m_32,p_108,during the match,head,8.48,-7.23,3,0,high,10,53,missed opportunity
226,m_6,p_35,during the match,right foot,9.73,-8.73,3,0,medium,42,33,kick to the defense
227,m_23,p_46,during the match,right foot,21.95,-16.96,2,0,medium,57,55,missed opportunity
228,m_78,p_139,during the match,right foot,8.23,-7.23,1,0,low,5,1,missed opportunity
229,m_14,p_50,during the match,right foot,10.97,-9.98,1,0,low,62,42,missed opportunity
230,m_226,p_139,during the match,right foot,10.23,-15.46,3,0,medium,19,6,missed opportunity
231,m_141,p_6,during the match,right foot,10.23,-3.49,1,0,medium,35,43,goal
232,m_79,p_97,during the match,right foot,20.45,3.99,2,0,medium,20,48,missed opportunity
233,m_62,p_106,during the match,right foot,13.22,15.96,2,0,medium,89,51,kick to the defense
234,m_157,p_150,during the match,left foot,29.68,9.98,4,0,low,41,7,missed opportunity
235,m_230,p_51,during the match,head,7.48,-2.49,1,0,low,47,53,missed opportunity
236,m_188,p_148,during the match,right foot,21.2,11.72,2,0,low,32,16,goal
237,m_137,p_101,during the match,right foot,24.19,10.23,2,0,medium,12,40,goalkeeper save
238,m_39,p_9,during the match,right foot,18.7,13.47,2,0,low,86,46,missed opportunity
239,m_141,p_23,during the match,right foot,21.2,10.23,3,1,low,3,46,goal
240,m_149,p_54,during the match,left foot,20.2,-16.21,2,0,medium,68,23,goalkeeper save
241,m_196,p_56,during the match,right foot,26.93,-5.24,2,0,medium,24,6,goalkeeper save
242,m_70,p_116,during the match,left foot,6.24,-3.49,3,0,medium,3,21,goalkeeper save
243,m_159,p_149,during the match,right foot,7.98,-15.21,2,0,low,36,21,missed opportunity
244,m_220,p_85,during the match,left foot,12.47,3.49,1,0,medium,63,30,goalkeeper save
245,m_147,p_151,during the match,right foot,14.96,4.99,3,0,medium,72,57,kick to the defense
246,m_21,p_92,during the match,left foot,19.2,-13.47,3,0,medium,46,22,kick to the defense
247,m_145,p_33,during the match,right foot,16.46,-13.72,2,0,medium,19,6,goalkeeper save
248,m_126,p_157,during the match,right foot,21.95,-15.46,3,0,low,19,30,goalkeeper save
249,m_88,p_104,during the match,left foot,10.47,-7.73,1,0,low,13,13,missed opportunity
250,m_143,p_152,during the match,left foot,3.24,-2.0,0,0,medium,45,21,goal
251,m_14,p_90,during the match,right foot,14.96,15.71,2,0,medium,66,23,missed opportunity
252,m_30,p_102,direct free kick,right foot,31.67,-1.25,5,1,low,66,34,goalkeeper save
253,m_106,p_44,during the match,right foot,18.7,-7.23,4,1,medium,83,21,goal
254,m_107,p_116,during the match,left foot,24.44,10.72,3,1,medium,61,17,missed opportunity
255,m_91,p_67,during the match,right foot,23.69,14.96,2,1,medium,92,57,goalkeeper save
256,m_233,p_86,during the match,right foot,17.21,-1.5,5,1,low,72,40,missed opportunity
257,m_78,p_29,during the match,left foot,26.43,-1.0,3,0,medium,38,43,missed opportunity
258,m_145,p_155,during the match,right foot,8.48,11.22,2,0,medium,72,21,kick to the defense
259,m_217,p_131,during the match,right foot,25.44,-23.44,1,0,medium,34,21,missed opportunity
260,m_195,p_96,during the match,left foot,26.93,0.25,3,0,low,76,29,goalkeeper save
261,m_126,p_82,during the match,left foot,9.23,-13.22,4,1,medium,2,43,missed opportunity
262,m_154,p_72,during the match,right foot,12.72,-8.48,1,0,low,68,47,missed opportunity
263,m_36,p_94,during the match,right foot,15.71,16.96,3,0,high,79,30,missed opportunity
264,m_17,p_128,direct free kick,left foot,22.44,9.48,8,3,low,28,7,kick to the defense
265,m_131,p_87,during the match,right foot,7.48,-12.72,1,0,medium,47,57,missed opportunity
266,m_30,p_67,during the match,right foot,23.44,14.22,3,2,low,74,22,missed opportunity
267,m_232,p_127,during the match,left foot,21.2,-14.22,4,0,medium,70,40,kick to the defense
268,m_119,p_12,during the match,head,9.73,3.99,2,0,high,35,13,missed opportunity
269,m_168,p_77,during the match,right foot,31.17,1.75,2,0,low,27,9,missed opportunity
270,m_202,p_65,penalty,right foot,10.97,0.0,1,0,low,54,38,goal
271,m_117,p_89,during the match,head,6.48,-3.24,1,0,medium,91,55,missed opportunity
272,m_211,p_79,during the match,left foot,3.74,-0.5,0,0,medium,9,19,goal
273,m_5,p_43,during the match,right foot,19.45,-9.23,2,0,medium,45,4,goal
274,m_112,p_128,during the match,right foot,21.95,0.75,2,1,medium,80,13,goalkeeper save
275,m_208,p_88,direct free kick,left foot,23.44,-17.96,4,0,low,51,56,missed opportunity
276,m_145,p_25,direct free kick,right foot,21.2,-8.23,8,2,low,35,11,goalkeeper save
277,m_134,p_148,during the match,left foot,21.2,9.98,3,0,medium,30,46,kick to the defense
278,m_196,p_33,during the match,left foot,22.69,5.49,4,0,medium,61,52,goalkeeper save
279,m_17,p_142,during the match,head,2.24,5.49,1,0,high,77,2,missed opportunity
280,m_201,p_12,during the match,right foot,10.47,-8.23,3,0,medium,45,27,kick to the crossbar
281,m_203,p_15,during the match,head,6.98,0.25,1,0,medium,16,11,missed opportunity
282,m_74,p_48,during the match,right foot,8.73,6.98,2,0,high,4,1,kick to the defense
283,m_201,p_58,during the match,right foot,8.48,-2.74,2,0,high,16,9,missed opportunity
284,m_181,p_156,penalty,right foot,10.97,0.0,1,0,low,86,29,goal
285,m_126,p_66,during the match,right foot,28.93,-1.25,3,0,medium,70,52,missed opportunity
286,m_129,p_136,during the match,head,12.22,1.75,5,1,high,8,56,kick to the crossbar
287,m_30,p_154,during the match,right foot,13.22,11.72,4,0,medium,46,29,kick to the defense
288,m_194,p_156,direct free kick,left foot,20.7,0.75,7,2,low,81,29,missed opportunity
289,m_63,p_44,during the match,left foot,19.95,14.96,5,2,medium,75,15,missed opportunity
290,m_91,p_152,during the match,left foot,19.45,-13.47,3,2,high,46,22,goalkeeper save
291,m_204,p_51,during the match,right foot,17.46,-9.98,1,0,medium,84,1,kick to the defense
292,m_85,p_157,during the match,head,3.99,6.98,2,0,medium,49,13,goalkeeper save
293,m_43,p_130,during the match,right foot,21.7,0.25,2,0,medium,56,58,missed opportunity
294,m_119,p_68,during the match,right foot,25.19,-4.24,3,1,medium,73,55,kick to the defense
295,m_6,p_36,during the match,right foot,28.68,11.47,3,0,medium,77,48,missed opportunity
296,m_151,p_104,during the match,right foot,23.94,7.98,3,0,low,12,7,goalkeeper save
297,m_26,p_41,during the match,left foot,25.69,15.71,5,1,low,70,10,missed opportunity
298,m_172,p_81,during the match,other,12.47,7.48,2,0,medium,34,17,missed opportunity
299,m_118,p_135,during the match,right foot,25.94,-16.71,3,0,medium,33,15,missed opportunity
300,m_118,p_32,during the match,right foot,9.23,14.71,3,0,high,23,48,kick to the defense
301,m_71,p_107,during the match,left foot,14.71,-4.49,2,0,high,72,29,missed opportunity
302,m_164,p_17,during the match,left foot,27.93,0.25,5,1,low,85,15,kick to the defense
303,m_140,p_108,during the match,head,12.72,0.25,2,0,low,66,35,missed opportunity
304,m_176,p_93,during the match,left foot,11.97,7.98,2,0,low,21,9,missed opportunity
305,m_178,p_11,during the match,head,1.25,-6.48,2,1,low,43,49,missed opportunity
306,m_177,p_46,during the match,right foot,30.67,3.24,5,2,low,40,25,missed opportunity
307,m_236,p_41,during the match,head,8.48,3.99,2,0,high,24,19,goal
308,m_7,p_1,during the match,left foot,26.68,2.74,3,1,medium,71,42,missed opportunity
309,m_144,p_4,during the match,right foot,26.43,13.47,3,1,low,59,22,goalkeeper save
310,m_49,p_53,during the match,right foot,23.69,-4.99,4,0,low,79,27,kick to the defense
311,m_211,p_42,during the match,left foot,9.23,18.21,2,0,low,58,57,missed opportunity
312,m_174,p_139,during the match,head,8.48,2.74,2,0,medium,45,4,missed opportunity
313,m_74,p_8,during the match,left foot,12.47,9.73,3,0,high,89,43,kick to the defense
314,m_11,p_53,during the match,head,4.49,2.99,1,0,medium,6,36,missed opportunity
315,m_198,p_128,during the match,left foot,7.48,12.22,1,0,high,81,30,missed opportunity
316,m_68,p_36,during the match,right foot,11.47,-12.72,2,0,low,25,21,goalkeeper save
317,m_139,p_92,during the match,left foot,11.22,14.71,3,0,medium,45,51,missed opportunity
318,m_124,p_112,during the match,right foot,23.69,1.25,5,0,low,61,51,missed opportunity
